source_id,category,title,source_url,access_status,corpus_files,licence_class,release_recommendation
adaptyv_benchbb,adaptyv_blog,Introducing BenchBB and the community paper,https://www.adaptyvbio.com/blog/benchbb/,retrieved,01_Web_Pages/adaptyv_benchbb.txt; 01_Web_Pages/web_pages_raw_html.zip,third-party web page text copy,REVIEW — copy of a third-party page; consider URL-only
adaptyv_po101,adaptyv_blog,Protein Optimization 101: Insights from the literature,https://www.adaptyvbio.com/blog/po101,retrieved,01_Web_Pages/adaptyv_po101.txt; 01_Web_Pages/web_pages_raw_html.zip,third-party web page text copy,REVIEW — copy of a third-party page; consider URL-only
adaptyv_po102,adaptyv_blog,Protein Optimization 102: Lessons from the protein design competition,https://www.adaptyvbio.com/blog/po102,retrieved,01_Web_Pages/adaptyv_po102.txt; 01_Web_Pages/web_pages_raw_html.zip,third-party web page text copy,REVIEW — copy of a third-party page; consider URL-only
adaptyv_po103,adaptyv_blog,Protein Optimization 103: Racing to the Top 100,https://www.adaptyvbio.com/blog/po103,retrieved,01_Web_Pages/adaptyv_po103.txt; 01_Web_Pages/web_pages_raw_html.zip,third-party web page text copy,REVIEW — copy of a third-party page; consider URL-only
adaptyv_po104,adaptyv_blog,Protein Design Competition: Has binder design been solved?,https://www.adaptyvbio.com/blog/po104/,retrieved,01_Web_Pages/adaptyv_po104.txt; 01_Web_Pages/web_pages_raw_html.zip,third-party web page text copy,REVIEW — copy of a third-party page; consider URL-only
adaptyv_mbp,adaptyv_blog,Case study: Designing modular protein sensors using BindCraft,https://www.adaptyvbio.com/blog/mbp,retrieved,01_Web_Pages/adaptyv_mbp.txt; 01_Web_Pages/web_pages_raw_html.zip,third-party web page text copy,REVIEW — copy of a third-party page; consider URL-only
adaptyv_agents_vs_humans,adaptyv_blog,Can LLMs design proteins? (agents vs humans),https://www.adaptyvbio.com/blog/agents-vs-humans,retrieved,01_Web_Pages/adaptyv_agents_vs_humans.txt; 01_Web_Pages/web_pages_raw_html.zip,third-party web page text copy,REVIEW — copy of a third-party page; consider URL-only
adaptyv_nipah_submissions,adaptyv_blog,What happened in the Nipah Protein Design Competition so far?,https://www.adaptyvbio.com/blog/nipah-submissions/,retrieved,01_Web_Pages/adaptyv_nipah_submissions.txt; 01_Web_Pages/web_pages_raw_html.zip,third-party web page text copy,REVIEW — copy of a third-party page; consider URL-only
gembio_gemadaptyv2026,web,GEM x Adaptyv 2026 Competition,https://www.gembio.ai/gemadaptyv2026,retrieved,01_Web_Pages/gembio_gemadaptyv2026.txt; 01_Web_Pages/web_pages_raw_html.zip,third-party web page text copy,REVIEW — copy of a third-party page; consider URL-only
deepmind_alphaproteo_blog,web,AlphaProteo generates novel proteins (DeepMind blog),https://deepmind.google/blog/alphaproteo-generates-novel-proteins-for-biology-and-health-research/,retrieved,01_Web_Pages/deepmind_alphaproteo_blog.txt; 01_Web_Pages/web_pages_raw_html.zip,third-party web page text copy,REVIEW — copy of a third-party page; consider URL-only
paper_alphaproteo,paper,AlphaProteo (arXiv 2409.08022),https://arxiv.org/abs/2409.08022,retrieved_full,05 Oversized Files/PDFs: alphaproteo_arxiv_2409.08022 (page-range parts); metadata JSON in folder),"preprint (bioRxiv/arXiv; author-chosen licence — many are CC-BY, some CC-BY-NC-ND / no reuse)",REVIEW licence per item (usually fine for CC-BY)
paper_cao2022,paper,Design of protein-binding proteins from the target structure alone (Nature 2022),https://www.nature.com/articles/s41586-022-04654-9,retrieved_full,03_Papers_and_Supplementary/si_cao2022_MOESM1_supplementary.pdf; 03_Papers_and_Supplementary/si_cao2022_MOESM2_reporting_summary.pdf,journal article / SI (publisher copyright unless open access — check per article before redistributing full text),REVIEW — full-text redistribution generally NOT permitted unless OA; safest is URL-only
paper_rfdiffusion,paper,De novo design of protein structure and function with RFdiffusion (Nature 2023),https://www.nature.com/articles/s41586-023-06415-8,retrieved_full,03_Papers_and_Supplementary/rfdiffusion_nature_s41586-023-06415-8_fulltext.txt; 03_Papers_and_Supplementary/si_rfdiffusion_MOESM2_reporting_summary.pdf,journal article / SI (publisher copyright unless open access — check per article before redistributing full text),REVIEW — full-text redistribution generally NOT permitted unless OA; safest is URL-only
