item,handling,official_source
范围,本版为官方目录字段的全量初筛及补充索引，不是已穷尽所有独立marker的最终字典。尚未逐产品下载全部IFU、Decision Summary和PMA Supplements。,
计数口径,"1,177个规范化CLIA检测对象标签＋29个CDx补充标签＝1,206；864个有数据库或目录级关联，342个待核实。不同分子层次、样本和用途可能仍有同义标签。",
同义处理,CLIA仅去首尾空格、合并连续空白及忽略大小写；保留标点、亚型、标本和免疫球蛋白类别。未按生物学同义词全面归并。,
CLIA记录不是获准证明,"80,677条记录用于发现对象；CR/CW/CD/X等不能据此当作510(k)/PMA号。关联路径只接受获准数据库或明确CDx目录证据。",https://www.fda.gov/medical-devices/medical-device-databases/clinical-laboratory-improvement-amendments-download-data
CLIA时间,数据中最大DATE_EFFECTIVE为2026-09-18；它是复杂性分类生效日，不是清除/批准日期。原始文件名不表示数据只到2014年。,
CDC历史库,"另核查25,712条CDC历史记录；20种不匹配拼写主要为历史别名，本次不自动并入主表，避免旧新Analyte ID复用造成误关联。",https://www.accessdata.fda.gov/premarket/ftparea/clia_cdc.zip
510(k)与De Novo,"读取176,223条历年批量记录，包括489条DENG。De Novo以DENG判定，不能仅凭旧K号识别路径。",https://www.fda.gov/medical-devices/510k-clearances/downloadable-510k-files
De Novo覆盖边界,选CH/HE/IM/MI/PA/TX审查专业，并补入核酸、CDx目录中的DEN号及明显遗传项目，共154条。其他专业中的未识别诊断项目仍可能遗漏。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfPMN/denovo.cfm
PMA覆盖边界,"从57,183条原始及补充记录筛选常见IVD专业，得到305个PMA号；不是所有FDA PMA，也不等于305种marker。另23个N开头历史编号未计入。",https://www.fda.gov/medical-devices/device-approvals-and-clearances/pma-approvals
PMA撤回与在售,获准历史记录不证明当前在售。305个PMA号中72个存在原始申请APWD记录，已明确标注；主表关联用于历史证据发现。,
