对比维度,Safety-44 (Bowes 2012),Safety-77 (Brennan / IQ DruSafe 2024),SafetyScreen87 (Eurofins)
提出背景,AstraZeneca、GSK、Novartis、Pfizer 四家公司首次公开各自的体外药理谱系策略，凝练出一个「最小推荐面板」,IQ 联盟 DruSafe 工作组对 18 家公司的问卷调查，总结当代实践并提出扩展的推荐靶点集,CRO 商业产品：在 Bowes-44 基础上扩充，早于 Safety-77，与之相互独立
靶点总数,44,77,87
靶点构成,GPCR 24、离子通道 8、酶（非激酶）6、转运体 3、核受体 2、激酶 1,激酶 20（26%）、非激酶酶类约 12%；完整清单未公开获取，其余家族构成本报告不作推断,Bowes-44 全部 44 个 + 额外 43 个（以 GPCR 与离子通道为主）；GPCR 约 35–44、离子通道约 18–19、核受体约 6、激酶 3
激酶占比,1 / 44 = 2.3%,20 / 77 = 26%（第二大靶点类别）,3 / 87 = 3.4%
核受体,仅 雄激素受体 AR 与糖皮质激素受体 GR 两个,文献描述「增强核受体等代表性不足家族的覆盖」，具体成员未获证实,AR、GR + ERα、PPARγ、孕激素受体 PR、RARα
心脏离子通道粒度,通用型结合测定：hERG（膜制备）、L-型钙通道（DHP 位点）、钠通道（site 2，脑制备）、通用 Kv,扩展离子通道与 GABA-A 功能评估（CRO 实现层面）,分子层面明确：Nav1.5、Cav1.2 三个位点（维拉帕米/DHP/地尔硫䓬）、Cav2.2、Kv1.1、KATP 等
靶器官覆盖,以心血管与中枢神经系统为主,明确扩展至心血管与中枢以外的器官系统,以 GPCR/离子通道扩充为主，器官覆盖随之加宽
检测模式,以放射性配体结合测定为主（单浓度，常用 10 µM，n=2），酶类为酶活测定；原文建议结合测定与功能测定并行以提高灵敏度,推荐功能性测定与剂量-反应；CRO 实现中激酶在生理 1 mM ATP 下检测,以放射性配体结合为主，区分拮抗剂/激动剂放射配体；酶类与激酶为酶活测定
剂量-反应,默认单一浓度筛查，命中后再做浓度梯度确证,强调命中后的浓度-反应确证与安全裕度（margin）计算,标准产品为单浓度（10 µM），IC50/Ki 需另行订购
法规对齐,非法规强制。ICH S7A 仅将「提示潜在不良作用的配体结合或酶测定数据」列为设计核心组合试验时应考虑的因素之一,论文摘要指出监管机构「正日益要求」提供已知不良反应关联靶点的活性数据,厂商宣称「ICH S7A/B 对齐」，实指所筛靶点对应 S7A 关注的器官系统，而非满足任何 S7A/S7B 要求
代表 CRO 产品,Eurofins SafetyScreen44™ (P270)、Reaction Biology InVEST44,Reaction Biology InVEST77,Eurofins SafetyScreen87 (P342 / PP223)
