organ	n_with	logp_with	n_without	logp_without	delta	interpretable
Testis	50	-0.35248273611068726	50	-0.36249397695064545	-0.010011240839958191	True
Brain	27	-0.2930115163326263	1	-0.3635546863079071	-0.07054316997528082	False
Cerebellum	50	-0.2649034112691879	8	-0.18661621212959284	0.07828719913959509	False
Liver	50	-0.26757933199405665	35	-0.2503462731838226	0.01723305881023407	True
Blood	50	-0.278577595949173	27	-0.2727221548557281	0.00585544109344488	True
Skeletal_muscle	50	-0.2794307619333267	3	-0.2279634177684784	0.05146734416484833	False
Skin	50	-0.2896881699562073	28	-0.2593153268098831	0.030372843146324158	True
Pituitary	50	-0.3029133379459381	5	-0.304833173751831	-0.0019198358058928888	False
Kidney	37	-0.2909952104091644	3	-0.2823098599910736	0.008685350418090765	False
Spleen	50	-0.29130953550338745	3	-0.2804019749164581	0.010907560586929377	False
_background_broad	146	-0.28235962986946106	4	-0.2988071218132972	-0.016447491943836157	False
